qseqid                  sseqid        pident   length  evalue     bitscore
LEP|NP_000221.1|leptin  sp|P41159.1|  100.000  167     6.06e-121  340
LEP|NP_000221.1|leptin  sp|Q28504.1|  89.820   167     1.66e-107  306
LEP|NP_000221.1|leptin  sp|O02750.1|  99.315   146     6.83e-102  291
LEP|NP_000221.1|leptin  sp|Q95189.1|  98.630   146     5.74e-101  289
LEP|NP_000221.1|leptin  sp|Q9N2C1.1|  84.431   167     1.35e-100  289
LEP|NP_000221.1|leptin  sp|Q95234.1|  97.260   146     4.27e-100  287
LEP|NP_000221.1|leptin  sp|Q29406.1|  85.030   167     2.63e-99   286
LEP|NP_000221.1|leptin  sp|P50595.1|  84.431   167     1.22e-98   284
LEP|NP_000221.1|leptin  sp|Q5J732.1|  84.431   167     1.26e-98   284
LEP|NP_000221.1|leptin  sp|Q257X2.1|  84.431   167     3.24e-98   283
LEP|NP_000221.1|leptin  sp|Q1XG29.1|  81.437   167     4.31e-98   283
LEP|NP_000221.1|leptin  sp|P41160.1|  83.234   167     4.17e-97   280
LEP|NP_000221.1|leptin  sp|O02720.2|  80.240   167     6.47e-95   275
LEP|NP_000221.1|leptin  sp|P50596.1|  82.036   167     6.69e-95   275
LEP|NP_000221.1|leptin  sp|Q28603.2|  86.986   146     5.62e-88   256
LEP|NP_000221.1|leptin  sp|O42164.1|  79.042   167     2.43e-87   255
LEP|NP_000221.1|leptin  sp|Q9TU09.2|  88.372   129     6.90e-80   236
LEP|NP_000221.1|leptin  sp|O93416.1|  81.507   146     1.07e-78   233
LEP|NP_000221.1|leptin  sp|Q9XSW9.1|  67.665   167     5.46e-67   204
LEP|NP_000221.1|leptin  sp|Q706D1.1|  64.671   167     4.04e-66   202
LEP|NP_000221.1|leptin  sp|Q706D0.1|  64.671   167     4.41e-66   202
