qseqid                     sseqid        pident  length  evalue     bitscore
LEP|XP_005250397.1|leptin  sp|P41159.1|  99.401  167     2.68e-118  333
LEP|XP_005250397.1|leptin  sp|Q28504.1|  89.222  167     4.90e-105  300
LEP|XP_005250397.1|leptin  sp|O02750.1|  98.630  146     2.53e-99   285
LEP|XP_005250397.1|leptin  sp|Q95189.1|  97.945  146     1.75e-98   283
LEP|XP_005250397.1|leptin  sp|Q9N2C1.1|  83.832  167     6.56e-98   282
LEP|XP_005250397.1|leptin  sp|Q95234.1|  96.575  146     1.48e-97   280
LEP|XP_005250397.1|leptin  sp|Q29406.1|  84.431  167     1.12e-96   279
LEP|XP_005250397.1|leptin  sp|P50595.1|  83.832  167     4.14e-96   278
LEP|XP_005250397.1|leptin  sp|Q5J732.1|  83.832  167     4.88e-96   277
LEP|XP_005250397.1|leptin  sp|Q257X2.1|  83.832  167     9.43e-96   276
LEP|XP_005250397.1|leptin  sp|Q1XG29.1|  80.838  167     1.60e-95   276
LEP|XP_005250397.1|leptin  sp|P41160.1|  82.635  167     1.24e-94   274
LEP|XP_005250397.1|leptin  sp|P50596.1|  81.437  167     2.40e-92   268
LEP|XP_005250397.1|leptin  sp|O02720.2|  79.641  167     3.15e-92   268
LEP|XP_005250397.1|leptin  sp|O42164.1|  79.518  166     3.50e-89   260
LEP|XP_005250397.1|leptin  sp|Q28603.2|  86.301  146     2.45e-85   249
LEP|XP_005250397.1|leptin  sp|O93416.1|  82.069  145     1.25e-80   238
LEP|XP_005250397.1|leptin  sp|Q9TU09.2|  87.597  129     3.25e-77   229
LEP|XP_005250397.1|leptin  sp|Q9XSW9.1|  67.665  167     1.60e-65   200
LEP|XP_005250397.1|leptin  sp|Q706D1.1|  64.072  167     1.36e-63   195
LEP|XP_005250397.1|leptin  sp|Q706D0.1|  64.072  167     1.92e-63   195
